fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-08-20,11922.87,3924,151,121,8,2,1,32217.3,2.7,0,3038,3.85
2026-08-21,24292.99,6068,223,194,38,8,4,283395.15,11.67,0,4003,3.68
2026-08-22,14230.53,3687,90,110,9,1,1,46052.0,3.24,0,3860,2.44
2026-08-23,22404.95,6905,116,107,6,4,1,0.0,,0,3245,1.68
2026-08-24,10535.89,2360,50,41,13,1,0,0.0,,0,4464,2.12
2026-08-25,23459.31,6158,147,120,17,1,1,95000.0,4.05,0,3810,2.39
2026-08-26,24710.96,6150,105,94,10,4,1,20899.15,0.85,0,4018,1.71
2026-08-27,14191.08,3079,93,88,8,3,1,68991.0,4.86,0,4609,3.02
2026-08-28,27579.81,6501,135,126,26,1,3,134850.0,4.89,0,4242,2.08
2026-08-29,16965.29,4246,78,89,19,2,0,0.0,,0,3996,1.84
2026-08-30,18308.51,4149,87,77,1,1,0,0.0,,0,4413,2.1
2026-08-31,12849.88,2521,53,49,7,3,1,44884.0,3.49,0,5097,2.1
2026-09-01,22043.7,2827,117,107,14,4,2,163800.0,7.43,0,7798,4.14
2026-09-02,24817.78,2356,107,130,10,1,1,61999.15,2.5,0,10534,4.54
