anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,imagen,51908.34,6332,3.1,264.84,,,8.07,17303,3,,0,Escalar,Agregaron al carrito,"ROAS 4.04x del objetivo, sin fatiga → escalar"
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,video,52379.61,7192,2.77,263.21,0.03,,5.84,13095,4,,0,Escalar,Agregaron al carrito,"ROAS 2.92x del objetivo, sin fatiga → escalar · Hook bajo (0.03%): el arranque no frena el scroll"
Ad5 - Video - Sale - Copia,video,80278.3,8169,5.06,194.38,79.84,16.61,4.87,26759,3,,0,Escalar,Agregaron al carrito,"ROAS 2.44x del objetivo, sin fatiga → escalar"
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,video,528469.73,85383,2.63,235.4,0.41,14.16,4.82,24021,22,,0,Escalar,Agregaron al carrito,"ROAS 2.41x del objetivo, sin fatiga → escalar · Hook bajo (0.41%): el arranque no frena el scroll"
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,video,732396.22,102386,2.93,244.05,,,3.48,27126,27,,0,Escalar,Agregaron al carrito,"ROAS 1.74x del objetivo, sin fatiga → escalar · Hook bajo (0.0%): el arranque no frena el scroll"
Ad1 - Angulo Anticipo Temporada,video,574322.05,51951,2.5,442.47,70.42,11.28,3.48,33784,17,,0,Escalar,Agregaron al carrito,"ROAS 1.74x del objetivo, sin fatiga → escalar"
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,video,78972.66,9952,2.72,291.41,0.91,20.88,3.33,26324,3,,0,Escalar,Agregaron al carrito,"ROAS 1.67x del objetivo, sin fatiga → escalar · Hook bajo (0.91%): el arranque no frena el scroll"
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,video,257707.98,32361,3.34,238.18,4.14,5.07,3.19,32213,8,,0,Escalar,Agregaron al carrito,"ROAS 1.59x del objetivo, sin fatiga → escalar · Hook bajo (4.14%): el arranque no frena el scroll"
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,imagen,221639.53,25252,3.19,275.33,,,2.57,44328,5,,0,Escalar,Agregaron al carrito,"ROAS 1.28x del objetivo, sin fatiga → escalar"
Ad3 - Angulo Producto Fit,video,11983.09,1000,2.2,544.69,68.5,15.18,24.33,3994,3,,0,Poca data,Agregaron al carrito,Poca data (3 compras · gasto 11983): dejar correr / mirar señales de arriba
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,video,27794.35,3057,3.17,286.54,3.37,1.94,6.02,27794,1,,0,Poca data,Agregaron al carrito,Poca data (1 compras · gasto 27794): dejar correr / mirar señales de arriba · Hook bajo (3.37%): el arranque no frena el scroll
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,video,39177.19,5448,1.82,395.73,13.18,18.11,3.5,19589,2,,0,Poca data,Agregaron al carrito,Poca data (2 compras · gasto 39177): dejar correr / mirar señales de arriba · Hook bajo (13.18%): el arranque no frena el scroll
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,imagen,70703.18,5238,2.33,579.53,,,2.26,70703,1,,0,Poca data,Agregaron al carrito,Poca data (1 compras · gasto 70703): dejar correr / mirar señales de arriba
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,imagen,123965.75,19255,2.69,239.32,,,1.55,61983,2,,0,Poca data,Agregaron al carrito,Poca data (2 compras · gasto 123965): dejar correr / mirar señales de arriba
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,video,20548.46,2236,3.76,244.62,13.86,13.87,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 20548): dejar correr / mirar señales de arriba · Hook bajo (13.86%): el arranque no frena el scroll
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4,video,31188.01,4374,2.72,262.08,2.42,0.94,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 31188): dejar correr / mirar señales de arriba · Hook bajo (2.42%): el arranque no frena el scroll
Ad6 - Secuencia - Nueva coleccion 2026 - Copia,video,36577.37,5349,2.6,263.15,13.8,5.56,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 36577): dejar correr / mirar señales de arriba · Hook bajo (13.8%): el arranque no frena el scroll
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2,video,21353.99,2928,2.9,251.22,19.77,19.69,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 21353): dejar correr / mirar señales de arriba · Hook bajo (19.77%): el arranque no frena el scroll
Ad2 - Angulo Viaje,video,18073.46,1708,1.52,695.13,77.75,4.67,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 18073): dejar correr / mirar señales de arriba · Hold bajo (4.67%): no retiene después del gancho
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 2,video,18579.4,2354,1.66,476.39,60.75,11.12,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 18579): dejar correr / mirar señales de arriba
