fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-08-12,98389.36,13067,277,222,70,7,4,583109.33,5.93,0,7530,2.12
2026-08-13,91211.03,12673,331,296,57,4,3,249683.89,2.74,0,7197,2.61
2026-08-14,96142.2,12402,312,270,38,2,2,152750.47,1.59,0,7752,2.52
2026-08-15,70169.35,8049,227,181,36,6,2,208951.71,2.98,0,8718,2.82
2026-08-16,118735.75,17356,422,383,73,8,2,257592.36,2.17,0,6841,2.43
2026-08-17,74617.61,8453,194,191,42,6,2,175762.31,2.36,0,8827,2.3
2026-08-18,97618.44,12024,357,318,56,5,0,0.0,,0,8119,2.97
2026-08-19,87959.0,9222,253,229,49,7,4,446812.94,5.08,0,9538,2.74
2026-08-20,101565.07,8942,273,247,53,8,4,241029.87,2.37,0,11358,3.05
2026-08-21,86328.21,10080,313,266,38,4,2,232189.47,2.69,0,8564,3.11
2026-08-22,83984.05,8342,288,295,35,5,2,81149.93,0.97,0,10068,3.45
2026-08-23,109301.13,11663,417,397,49,9,2,230799.37,2.11,0,9372,3.58
2026-08-24,83762.65,10815,316,310,50,10,2,169946.48,2.03,0,7745,2.92
2026-08-25,84552.17,11246,322,312,36,4,2,119972.5,1.42,0,7518,2.86
2026-08-26,93931.47,11264,342,314,43,2,2,151093.11,1.61,0,8339,3.04
2026-08-27,88719.52,10164,288,250,44,3,3,213712.13,2.41,0,8729,2.83
2026-08-28,96901.92,14842,420,410,95,9,4,481271.65,4.97,0,6529,2.83
2026-08-29,68877.92,9476,315,294,32,2,0,0.0,,0,7269,3.32
2026-08-30,113732.71,13481,499,477,124,13,7,970583.6,8.53,0,8437,3.7
2026-08-31,88803.6,10567,298,269,39,9,6,606753.98,6.83,0,8404,2.82
2026-09-01,89187.31,10459,319,287,81,10,3,395684.53,4.44,0,8527,3.05
2026-09-02,110996.67,14697,388,368,45,10,6,570649.72,5.14,0,7552,2.64
2026-09-03,102076.85,15034,409,352,45,8,5,489921.12,4.8,0,6790,2.72
2026-09-04,107941.47,16251,483,521,66,9,5,556744.61,5.16,0,6642,2.97
2026-09-05,86550.7,10982,325,289,38,6,6,713448.52,8.24,0,7881,2.96
2026-09-06,118762.48,17550,530,528,93,9,5,449383.1,3.78,0,6767,3.02
2026-09-07,127169.4,20609,517,450,27,6,1,88104.56,0.69,0,6171,2.51
2026-09-08,109695.77,17476,438,379,45,5,5,561298.76,5.12,0,6277,2.51
2026-09-09,114035.81,18080,479,435,31,12,4,348780.0,3.06,0,6307,2.65
2026-09-10,118892.87,16713,415,345,31,4,3,209680.1,1.76,0,7114,2.48
2026-09-11,110988.73,15927,348,340,49,6,3,184754.8,1.66,0,6969,2.18
2026-09-12,125069.86,17043,423,387,39,6,3,170615.67,1.36,0,7338,2.48
2026-09-13,139535.62,20579,555,485,47,8,3,277802.0,1.99,0,6780,2.7
2026-09-14,92579.7,13233,298,234,27,3,2,187043.31,2.02,0,6996,2.25
2026-09-15,118883.61,18644,380,328,53,6,2,268257.14,2.26,0,6377,2.04
2026-09-16,45510.18,5662,135,134,17,2,2,158442.89,3.48,0,8038,2.38
