fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-08-08,10268.83,1703,30,0,0,0,0,0.0,,6,6030,1.76
2026-08-09,7479.96,1208,27,0,0,0,0,0.0,,7,6192,2.24
2026-08-10,9766.51,2052,27,0,0,0,0,0.0,,4,4760,1.32
2026-08-11,9436.54,1915,27,0,0,0,0,0.0,,8,4928,1.41
2026-08-12,11740.68,2603,40,0,0,0,0,0.0,,10,4510,1.54
2026-08-13,8481.68,1712,20,0,0,0,0,0.0,,2,4954,1.17
2026-08-14,8150.4,1580,16,0,0,0,0,0.0,,4,5158,1.01
2026-08-15,9834.17,1617,21,0,0,0,0,0.0,,3,6082,1.3
2026-08-16,10836.02,1765,23,0,0,0,0,0.0,,7,6139,1.3
2026-08-17,11927.99,2028,25,0,0,0,0,0.0,,8,5882,1.23
2026-08-18,10657.22,1950,22,0,0,0,0,0.0,,7,5465,1.13
2026-08-19,9032.65,1420,22,0,0,0,0,0.0,,3,6361,1.55
2026-08-20,9440.57,1563,16,0,0,0,0,0.0,,4,6040,1.02
2026-08-21,8800.18,1543,23,0,0,0,0,0.0,,4,5703,1.49
2026-08-22,9069.69,1623,14,0,0,0,0,0.0,,4,5588,0.86
2026-08-23,11454.13,1886,24,0,0,0,0,0.0,,5,6073,1.27
2026-08-24,11448.96,2210,29,0,0,0,0,0.0,,10,5181,1.31
2026-08-25,10376.42,1883,20,0,0,0,0,0.0,,7,5511,1.06
2026-08-26,9631.88,2005,20,0,0,0,0,0.0,,4,4804,1.0
2026-08-27,9124.97,1780,24,0,0,0,0,0.0,,2,5126,1.35
2026-08-28,3309.81,793,9,0,0,0,0,0.0,,0,4174,1.13
2026-08-29,10000.0,1206,11,0,0,0,0,0.0,,2,8292,0.91
2026-08-30,9364.3,950,9,0,0,0,0,0.0,,1,9857,0.95
2026-08-31,10002.9,1402,16,0,0,0,0,0.0,,2,7135,1.14
2026-09-01,11996.22,2302,31,0,0,0,0,0.0,,9,5211,1.35
2026-09-02,12303.96,2591,47,0,0,0,0,0.0,,12,4749,1.81
2026-09-03,9538.86,1986,27,0,0,0,0,0.0,,6,4803,1.36
2026-09-04,10850.95,2179,38,0,0,0,0,0.0,,23,4980,1.74
2026-09-05,5776.53,1294,22,0,0,0,0,0.0,,8,4464,1.7
2026-09-06,11842.01,2764,46,0,0,0,0,0.0,,23,4284,1.66
2026-09-07,12099.62,2861,54,0,0,0,0,0.0,,27,4229,1.89
2026-09-08,5320.29,1311,19,0,0,0,0,0.0,,5,4058,1.45
2026-09-09,4753.46,878,7,0,0,0,0,0.0,,0,5414,0.8
2026-09-10,14741.38,2317,19,0,0,0,0,0.0,,9,6362,0.82
2026-09-11,12913.18,2085,21,0,0,0,0,0.0,,9,6193,1.01
2026-09-12,3489.86,504,4,0,0,0,0,0.0,,2,6924,0.79
