anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
Carrusel Catalogo 1 - Video - AGO,video,37022.0,15916,5.18,44.93,3.84,10.64,2.74,37022,1,,0,Poca data,Vieron la landing (LPV),Poca data (1 compras · gasto 37022): dejar correr / mirar señales de arriba · Hook bajo (3.84%): el arranque no frena el scroll
Carrusel Catalogo,video,45411.0,16353,5.01,55.45,2.48,5.93,1.59,45411,1,,0,Poca data,Vieron la landing (LPV),Poca data (1 compras · gasto 45411): dejar correr / mirar señales de arriba · Hook bajo (2.48%): el arranque no frena el scroll
Carrusel Catalogo - Video Nuevo 1 - Copia,video,47391.0,19919,6.27,37.97,8.22,16.91,1.14,47391,1,,0,Poca data,Vieron la landing (LPV),Poca data (1 compras · gasto 47391): dejar correr / mirar señales de arriba · Hook bajo (8.22%): el arranque no frena el scroll
Carrusel Catalogo - Video Nuevo 1,video,75120.0,14234,4.73,111.62,22.86,10.76,0.17,75120,1,,0,Poca data,Vieron la landing (LPV),Poca data (1 compras · gasto 75120): dejar correr / mirar señales de arriba
Carrusel Catalogo 2 - Video,video,6859.0,1542,5.45,81.65,21.47,7.25,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 6859): dejar correr / mirar señales de arriba · Hold bajo (7.25%): no retiene después del gancho
Carrusel Catalogo 3 - Video - Copia,video,278.0,59,0.0,,,,,,0,,0,Poca data,,Poca data (0 compras · gasto 278): dejar correr / mirar señales de arriba · Hook bajo (0.0%): el arranque no frena el scroll
Carrusel Catalogo - Video Nuevo 2,video,312.0,29,3.45,312.0,62.07,38.89,,,0,,0,Poca data,Clics en el enlace,Poca data (0 compras · gasto 312): dejar correr / mirar señales de arriba
Carrusel Catalogo - Video Nuevo 4,video,0.0,0,,,,,,,0,,0,Poca data,,Poca data (0 compras · gasto 0): dejar correr / mirar señales de arriba
Carrusel Catalogo 2 - Video - AGO,video,10485.0,2989,5.52,63.55,8.56,10.55,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 10485): dejar correr / mirar señales de arriba · Hook bajo (8.56%): el arranque no frena el scroll
Carrusel Catalogo 1 - Video - AGO - Copia,video,39169.0,15706,6.18,40.38,0.26,4.88,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 39169): dejar correr / mirar señales de arriba · Hook bajo (0.26%): el arranque no frena el scroll
Carrusel Catalogo 1 - Video - AGO - Copia 2,video,12521.0,5340,5.77,40.65,0.3,18.75,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 12521): dejar correr / mirar señales de arriba · Hook bajo (0.3%): el arranque no frena el scroll
Carrusel Catalogo 2 - Video - AGO - Copia,video,1771.0,778,3.34,68.12,0.13,,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 1771): dejar correr / mirar señales de arriba · Hook bajo (0.13%): el arranque no frena el scroll
Carrusel Catalogo 2 - Video - AGO - Copia 2,video,5532.0,1178,3.82,122.93,0.25,,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 5532): dejar correr / mirar señales de arriba · Hook bajo (0.25%): el arranque no frena el scroll
Carrusel Catalogo 2 - Video - AGO - Copia 3,video,4892.0,1937,5.58,45.3,0.1,50.0,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 4892): dejar correr / mirar señales de arriba · Hook bajo (0.1%): el arranque no frena el scroll
Carrusel Catalogo 1 - Video - AGO - Copia 3,video,2324.0,307,5.54,136.71,,,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 2324): dejar correr / mirar señales de arriba · Hook bajo (0.0%): el arranque no frena el scroll
Carrusel Catalogo 2 - Video - AGO - Copia 4,video,1390.0,217,3.69,173.75,,,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 1390): dejar correr / mirar señales de arriba · Hook bajo (0.0%): el arranque no frena el scroll
