fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-07-31,24379.0,3973,152,136,5,1,0,0.0,,0,6136,3.83
2026-08-01,12104.0,2112,91,79,1,0,0,0.0,,0,5731,4.31
2026-08-02,16903.0,2997,106,95,2,2,1,61990.0,3.67,0,5640,3.54
2026-08-03,20222.0,2291,110,92,0,0,0,0.0,,0,8827,4.8
2026-08-04,14448.0,1638,76,64,0,0,0,0.0,,0,8821,4.64
2026-08-05,14519.0,1694,62,56,1,2,1,179980.0,12.4,0,8571,3.66
2026-08-06,10569.0,1226,45,38,0,0,0,0.0,,0,8621,3.67
2026-08-07,17201.0,1236,68,58,0,0,0,0.0,,0,13917,5.5
2026-08-08,16779.0,2001,124,106,0,0,0,0.0,,0,8385,6.2
2026-08-09,19712.0,1984,93,77,1,0,0,0.0,,0,9935,4.69
2026-08-10,10087.0,1170,51,45,0,0,0,0.0,,0,8621,4.36
2026-08-11,14083.0,2483,90,75,1,1,0,0.0,,0,5672,3.62
2026-08-12,537.0,75,2,2,1,1,0,0.0,,0,7160,2.67
2026-08-13,0.0,0,0,0,0,0,0,0.0,,0,,
2026-08-18,915.0,205,19,15,1,1,1,12899.0,14.1,0,4463,9.27
2026-08-19,12761.0,3389,174,137,7,2,1,101500.0,7.95,0,3765,5.13
2026-08-20,14890.0,5072,231,194,3,1,0,0.0,,0,2936,4.55
2026-08-21,16489.0,6803,359,325,3,2,0,0.0,,0,2424,5.28
2026-08-22,12386.0,1932,83,76,6,4,0,0.0,,0,6411,4.3
2026-08-23,17121.0,1588,92,94,2,1,1,71990.0,4.2,0,10781,5.79
2026-08-24,14555.0,1733,76,67,0,0,0,0.0,,0,8399,4.39
2026-08-25,18195.0,8184,427,337,7,3,0,0.0,,0,2223,5.22
2026-08-26,24584.0,10311,602,525,8,6,1,53990.0,2.2,0,2384,5.84
2026-08-27,24588.0,9792,635,525,12,7,0,0.0,,0,2511,6.48
2026-08-28,25102.0,10749,617,501,7,2,0,0.0,,0,2335,5.74
2026-08-29,14142.0,5588,346,288,8,7,0,0.0,,0,2531,6.19
2026-08-30,19599.0,8265,503,412,12,10,0,0.0,,0,2371,6.09
2026-08-31,16533.0,7193,394,324,6,6,0,0.0,,0,2298,5.48
2026-09-01,14815.0,3283,166,152,2,1,0,0.0,,0,4513,5.06
2026-09-02,633.0,52,2,2,0,0,0,0.0,,0,12173,3.85
2026-09-03,13549.0,6675,329,265,6,3,0,0.0,,0,2030,4.93
2026-09-04,3637.0,1444,75,66,2,2,0,0.0,,0,2519,5.19
