anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
Ad_Vans,video,13234.63,3298,4.7,85.38,89.57,20.82,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 13234): dejar correr / mirar señales de arriba
Ad_Converse,video,10856.08,3133,4.21,82.24,93.33,20.9,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 10856): dejar correr / mirar señales de arriba
Ad_Osito,video,23579.52,7992,3.45,85.43,95.05,35.53,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 23579): dejar correr / mirar señales de arriba
Ad_Manchas,video,8646.62,1936,5.89,75.85,83.16,17.64,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 8646): dejar correr / mirar señales de arriba
Ad_Toallas,video,16139.25,3079,3.77,139.13,92.59,21.64,,,0,,0,Poca data,Iniciaron el pago,Poca data (0 compras · gasto 16139): dejar correr / mirar señales de arriba
Si cuando limpias tu trapo queda así… NO LO TIRES!,video,518.42,117,4.27,103.68,92.31,2.78,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 518): dejar correr / mirar señales de arriba · Hold bajo (2.78%): no retiene después del gancho
Así lavo mis toallas,video,678.7,172,2.33,169.68,94.77,17.79,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 678): dejar correr / mirar señales de arriba
Si hubiera desarrollado esto antes,video,3128.89,392,6.38,125.16,92.86,28.3,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 3128): dejar correr / mirar señales de arriba
Converse Blancas,video,832.89,89,3.37,277.63,89.89,17.5,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 832): dejar correr / mirar señales de arriba
Yo se que vos y yo...,video,1210.14,198,5.05,121.01,93.43,27.57,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 1210): dejar correr / mirar señales de arriba
