fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-08-31,1083.82,309,13,8,2,0,0,0.0,,0,3508,4.21
2026-09-01,4842.39,1173,54,51,5,0,0,0.0,,0,4128,4.6
2026-09-02,14115.06,3636,144,140,10,0,0,0.0,,0,3882,3.96
2026-09-03,14361.56,5097,164,150,2,0,0,0.0,,0,2818,3.22
2026-09-04,25117.62,6782,302,291,26,0,0,0.0,,0,3704,4.45
2026-09-05,6807.99,1694,90,90,4,0,0,0.0,,0,4019,5.31
2026-09-06,6078.3,729,25,21,0,0,0,0.0,,0,8338,3.43
2026-09-07,17923.65,2969,143,149,14,3,0,0.0,,0,6037,4.82
2026-09-08,15892.4,2164,112,108,15,1,0,0.0,,0,7344,5.18
2026-09-09,5080.73,455,32,30,12,1,0,0.0,,0,11166,7.03
