fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-09-01,5955.44,2117,18,0,0,0,0,0.0,,0,2813,0.85
2026-09-02,1312.86,323,11,1,0,0,0,0.0,,0,4065,3.41
2026-09-03,6496.41,2925,46,4,0,0,2,0.0,,0,2221,1.57
2026-09-04,19375.39,8844,100,7,0,0,8,0.0,,0,2191,1.13
2026-09-05,25902.4,13486,173,10,0,0,2,0.0,,0,1921,1.28
2026-09-06,20126.6,9271,148,16,0,0,5,0.0,,0,2171,1.6
2026-09-07,12062.45,4561,114,10,0,0,3,0.0,,0,2645,2.5
2026-09-08,7412.82,2258,39,7,0,0,1,0.0,,0,3283,1.73
2026-09-09,6800.76,3044,58,9,0,0,0,0.0,,0,2234,1.91
2026-09-10,6249.81,2843,54,9,0,0,1,0.0,,0,2198,1.9
2026-09-11,5655.57,2123,59,9,0,0,1,0.0,,0,2664,2.78
2026-09-12,743.01,342,8,0,0,0,0,0.0,,0,2173,2.34
