fecha,gasto,impresiones,clics_enlace,lpv,atc,pagos_iniciados,compras,valor_compras,roas,leads,cpm,ctr_%
2026-07-29,7494.83,1607,42,33,13,2,0,0.0,,0,4664,2.61
2026-07-30,10129.5,2138,39,35,0,0,0,0.0,,0,4738,1.82
2026-07-31,9796.54,1637,44,38,4,0,0,0.0,,0,5984,2.69
2026-08-01,5138.36,1122,21,21,0,0,0,0.0,,0,4580,1.87
2026-08-02,6022.85,996,15,11,1,1,1,53119.43,8.82,0,6047,1.51
2026-08-03,2408.9,420,9,6,1,0,0,0.0,,0,5735,2.14
2026-08-04,2988.44,648,24,23,4,1,1,53119.43,17.77,0,4612,3.7
2026-08-05,5968.6,1362,28,28,0,0,0,0.0,,0,4382,2.06
2026-08-06,8647.95,1698,49,36,1,1,0,0.0,,0,5093,2.89
2026-08-07,14735.49,2757,81,65,6,1,0,0.0,,0,5345,2.94
2026-08-08,12544.2,2330,68,46,6,0,0,0.0,,0,5384,2.92
2026-08-09,16218.68,3232,107,68,4,1,1,60033.3,3.7,0,5018,3.31
2026-08-10,14476.66,2850,94,48,5,1,0,0.0,,0,5080,3.3
2026-08-11,10214.6,2163,73,36,0,0,0,0.0,,0,4722,3.37
2026-08-12,7821.21,1954,91,49,5,0,0,0.0,,0,4003,4.66
2026-08-13,3511.79,1182,71,23,19,0,0,0.0,,0,2971,6.01
2026-08-14,1570.49,832,56,16,0,0,0,0.0,,0,1888,6.73
2026-08-15,1526.93,893,57,27,0,0,0,0.0,,0,1710,6.38
2026-08-16,4220.05,1424,72,41,0,0,0,0.0,,0,2964,5.06
2026-08-17,8872.22,2294,126,77,8,0,0,0.0,,0,3868,5.49
2026-08-18,5483.47,1321,68,37,0,0,0,0.0,,0,4151,5.15
2026-08-19,5083.66,1531,79,37,3,0,0,0.0,,0,3320,5.16
2026-08-20,1495.76,634,43,16,0,0,0,0.0,,0,2359,6.78
2026-08-21,17915.05,4250,162,139,14,0,1,81144.4,4.53,0,4215,3.81
2026-08-22,15185.79,3710,146,142,45,2,0,0.0,,0,4093,3.94
2026-08-23,18808.04,3622,155,151,41,2,0,0.0,,0,5193,4.28
2026-08-24,18420.28,2757,114,110,36,7,2,115917.0,6.29,0,6681,4.13
2026-08-25,15778.73,2120,74,68,21,9,3,166045.8,10.52,0,7443,3.49
2026-08-26,17232.82,3505,148,136,27,5,1,55240.4,3.21,0,4917,4.22
2026-08-27,15105.96,2911,123,116,20,1,0,0.0,,0,5189,4.23
2026-08-28,11804.42,2811,106,89,8,1,0,0.0,,0,4199,3.77
2026-08-29,11021.33,2026,66,61,34,5,1,61530.0,5.58,0,5440,3.26
2026-08-30,16112.31,3419,126,124,34,4,1,57338.0,3.56,0,4713,3.69
2026-08-31,34751.11,6308,143,135,19,4,0,0.0,,0,5509,2.27
2026-09-01,22191.58,3419,100,88,7,2,0,0.0,,0,6491,2.92
2026-09-02,276.91,75,0,0,0,0,0,0.0,,0,3692,
