"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de ROAS de resultado","CPM (costo por mil impresiones) (ARS)","CTR único (porcentaje de clics en el enlace)","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Información de pago agregada",Compras,"Valor de conversión de compras","Valor de conversión de compras promedio [Todas las conversiones de la atribución incremental]",Frecuencia,"Clics en el enlace","Reproducciones de video de 3 segundos","Tiempo promedio de reproducción del video","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%",ThruPlays,"CTR (porcentaje de clics en el enlace)","CTR único (todos)","CTR (todos)","CPC (costo por clic en el enlace) (ARS)","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-25,2026-08-25,Catalogo_5,active,,,,20000,Diario,6020.16,1318,1019,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,4567.647951,2.845927,25,1,,,,,,1.293425,33,42,1,101,49,33,23,23,2.503794,3.43474,3.566009,182.429091,,
2026-08-25,2026-08-25,Catalogo_Karla,active,,,,20000,Diario,448.2,47,39,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,9536.170213,2.564103,1,4,,,,,,1.205128,1,4,9,2,1,1,,2,2.12766,2.564103,2.12766,448.2,,
2026-08-25,2026-08-25,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,1305.22,252,222,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,5179.444444,5.855856,12,1,,,,,,1.135135,14,44,2,34,16,7,2,5,5.555556,7.657658,7.936508,93.23,,
2026-08-25,2026-08-25,Catalogo_3,active,1,actions:offsite_conversion.fb_pixel_purchase,15630.19,20000,Diario,15630.19,4522,3891,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,6.07798114,action_values:offsite_conversion.fb_pixel_purchase,3456.477222,2.33873,82,11,1,1,1,95000,95000,1.162169,99,526,1,381,184,96,61,62,2.189297,3.572346,3.869969,157.880707,,
2026-08-25,2026-08-25,Catalogo_2,active,,,,20000,Diario,54.02,17,15,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,3177.647059,0,,,,,,,,1.133333,,,1,,,,,,,0,0,,,
2026-08-25,2026-08-25,Catalogo_1,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-24,2026-08-24,Catalogo_5,active,,,,20000,Diario,2564.46,559,461,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,4587.584973,2.819957,10,5,,,,,,1.212581,13,24,1,45,25,16,13,13,2.325581,3.687636,3.220036,197.266154,,
2026-08-24,2026-08-24,Catalogo_Karla,active,,,,20000,Diario,936.73,212,187,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,4418.537736,3.208556,6,,,,,,,1.13369,7,9,20,5,2,2,2,2,3.301887,3.208556,4.245283,133.818571,,
2026-08-24,2026-08-24,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,1608.83,217,173,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,7413.963134,2.890173,6,,,,,,,1.254335,8,24,3,17,11,8,4,5,3.686636,4.046243,4.608295,201.10375,,
2026-08-24,2026-08-24,Catalogo_3,active,,,,20000,Diario,4914.53,1339,1138,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,3670.29873,1.581722,18,8,1,,,,,1.176626,19,114,1,84,44,24,13,13,1.418969,2.987698,3.211352,258.659474,,
2026-08-24,2026-08-24,Catalogo_2,active,,,,20000,Diario,291.5,15,11,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,19433.333333,9.090909,1,,,,,,,1.363636,1,1,1,1,,,,,6.666667,9.090909,6.666667,291.5,,
2026-08-24,2026-08-24,Catalogo_1,active,,,,20000,Diario,219.84,18,11,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,12213.333333,9.090909,,,,,,,,1.636364,2,2,6,2,2,1,1,1,11.111111,18.181818,22.222222,109.92,,
2026-08-23,2026-08-23,Catalogo_5,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-23,2026-08-23,Catalogo_Karla,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-23,2026-08-23,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-23,2026-08-23,Catalogo_3,active,,,,20000,Diario,21928.2,6838,5979,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,3206.814858,1.789597,105,6,4,,1,,,1.14367,114,737,1,517,278,150,83,88,1.667154,3.211239,3.568295,192.352632,,
2026-08-23,2026-08-23,Catalogo_2,active,,,,20000,Diario,476.75,67,63,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,7115.671642,3.174603,2,,,,,,,1.063492,2,6,1,6,2,1,1,1,2.985075,4.761905,5.970149,238.375,,
2026-08-23,2026-08-23,Catalogo_1,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
