Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Catalogo sin portada,2026-08-20,494.57,91,70,1.3,3,3,0,0,0,0,75,4,
Catalogo_2,2026-08-20,1357.75,290,261,1.111111,3,3,0,0,0,0,276,14,
Catalogo_3,2026-08-20,9219.13,2959,2784,1.062859,85,76,8,2,1,32217.30,2866,61,
Ad-1,2026-08-20,851.42,584,584,1,60,39,0,0,0,0,252,80,
Catalogo sin portada,2026-08-21,100.09,16,9,1.777778,1,1,5,1,1,51600,7,1,
Catalogo_2,2026-08-21,375.1,60,48,1.25,0,0,0,0,0,0,50,0,
Catalogo_3,2026-08-21,22768.39,5294,4660,1.136052,132,130,33,7,3,231795.15,5120,81,
Ad-1,2026-08-21,1049.41,698,696,1.002874,90,63,0,0,0,0,262,86,
Catalogo sin portada,2026-08-22,33.38,7,6,1.166667,0,0,0,0,0,0,5,2,
Catalogo_2,2026-08-22,402.27,72,64,1.125,3,3,0,0,0,0,55,2,
Catalogo_3,2026-08-22,13794.88,3608,3232,1.116337,87,107,9,1,1,46052,3463,61,
Catalogo_2,2026-08-23,476.75,67,63,1.063492,2,2,0,0,0,0,46,1,
Catalogo_3,2026-08-23,21928.2,6838,5979,1.14367,114,105,6,4,1,0,5972,88,
Catalogo sin portada,2026-08-24,219.84,18,11,1.636364,2,0,0,0,0,0,5,1,
Catalogo_2,2026-08-24,291.5,15,11,1.363636,1,1,0,0,0,0,7,0,
Catalogo_3,2026-08-24,4914.53,1339,1138,1.176626,19,18,8,1,0,0,1069,13,
Catalogo_4 ¿Es un varón?,2026-08-24,1608.83,217,173,1.254335,8,6,0,0,0,0,98,5,
Catalogo_Karla,2026-08-24,936.73,212,187,1.13369,7,6,0,0,0,0,20,2,
Catalogo_5,2026-08-24,2564.46,559,461,1.212581,13,10,5,0,0,0,190,13,
Catalogo_2,2026-08-25,54.02,17,15,1.133333,0,0,0,0,0,0,4,0,
Catalogo_3,2026-08-25,15631.71,4524,3892,1.162384,99,82,11,1,1,95000,3700,62,
Catalogo_4 ¿Es un varón?,2026-08-25,1305.22,252,222,1.135135,14,12,1,0,0,0,172,5,
Catalogo_Karla,2026-08-25,448.2,47,39,1.205128,1,1,4,0,0,0,7,2,
Catalogo_5,2026-08-25,6020.16,1318,1019,1.293425,33,25,1,0,0,0,472,23,
Catalogo sin portada,2026-08-26,56,14,12,1.166667,0,0,0,0,0,0,4,0,
Catalogo_3,2026-08-26,22625.67,5859,5086,1.151986,98,88,9,4,1,20899.15,4697,65,
Catalogo_4 ¿Es un varón?,2026-08-26,120.4,19,19,1,0,0,0,0,0,0,19,0,
Catalogo_Karla,2026-08-26,129.3,4,4,1,1,1,1,0,0,0,0,0,
Catalogo_5,2026-08-26,1779.59,254,190,1.336842,6,5,0,0,0,0,75,1,
Catalogo sin portada,2026-08-27,9251.48,1820,1286,1.415241,66,62,4,3,1,68991,141,6,
Catalogo_2,2026-08-27,58.86,8,5,1.6,0,0,0,0,0,0,2,0,
Catalogo_3,2026-08-27,4529,1201,1093,1.098811,26,25,4,0,0,0,1003,9,
Catalogo_4 ¿Es un varón?,2026-08-27,4.15,1,1,1,0,0,0,0,0,0,1,0,
Catalogo_Karla,2026-08-27,50.14,1,1,1,0,0,0,0,0,0,0,0,
Catalogo_5,2026-08-27,297.45,48,36,1.333333,1,1,0,0,0,0,17,1,
Catalogo sin portada,2026-08-28,11789.85,2153,1700,1.266471,75,65,14,1,3,134850,112,3,
Catalogo_2,2026-08-28,610.03,63,55,1.145455,0,0,0,0,0,0,35,1,
