"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Frecuencia,"CPM (costo por mil impresiones) (ARS)",Compras,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de compras","Valor de conversión de compras promedio [Todas las conversiones de la atribución incremental]","Valor de conversión de compras","ROAS de resultados","Indicador de ROAS de resultado","CTR único (porcentaje de clics en el enlace)","Clics en el enlace","Reproducciones de video de 3 segundos","Tiempo promedio de reproducción del video","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%",ThruPlays,"CTR (porcentaje de clics en el enlace)","CTR único (todos)","CTR (todos)","CPC (costo por clic en el enlace) (ARS)","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7",active,,,,"Con el presupuesto de la campaña",0,1839.44,185,163,1.134969,9942.918919,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,2.453988,5,,00:00:00,,,,,,2.702703,3.680982,4.324324,367.888,3,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,1,inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad3 - Angulo Producto Fit",active,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-22T06:31:57-0300,-,-,-,"A+ - Prospecting - Angulos Nuevos (Anticipo-Viaje-Producto)",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6",active,,,,"Con el presupuesto de la campaña",0,1730,222,197,1.126904,7792.792793,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,5.583756,13,,00:00:00,,,,,,5.855856,5.583756,7.657658,133.076923,9,,,,
2026-08-25,2026-08-25,"Ad2 - Angulo Viaje",active,,,,"Con el presupuesto de la campaña",0,1953.59,159,147,1.081633,12286.72956,,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-22T06:31:57-0300,-,-,-,"A+ - Prospecting - Angulos Nuevos (Anticipo-Viaje-Producto)",,,,,,2.721088,4,22,3,20,10,8,5,5,2.515723,2.721088,2.515723,488.3975,2,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9",active,,,,"Con el presupuesto de la campaña",0,862.36,80,73,1.09589,10779.5,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad1 - Angulo Anticipo Temporada",active,,,,"Con el presupuesto de la campaña",0,22178.25,2183,1688,1.293246,10159.528172,,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-22T06:31:57-0300,-,-,-,"A+ - Prospecting - Angulos Nuevos (Anticipo-Viaje-Producto)",,,,,,3.672986,68,120,2,441,214,127,94,94,3.114979,4.680095,4.672469,326.150735,69,7,1,,
2026-08-25,2026-08-25,"Secuencia imagenes 1 - Minimal SS25 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10",active,,,,"Con el presupuesto de la campaña",0,1532.84,174,154,1.12987,8809.425287,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,3.246753,8,3,2,20,12,7,3,3,4.597701,5.844156,8.045977,191.605,5,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12",active,,,,"Con el presupuesto de la campaña",0,230.67,21,19,1.105263,10984.285714,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
