Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad5 - Video - Sale - Copia,2026-07-29,4973.07,590,553,1.066908,33,28,2,0,0,0,563,89,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-07-29,10858.38,814,700,1.162857,17,19,1,0,1,68530.89,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-29,376.81,9,9,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-07-29,138.62,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-07-29,968.86,107,103,1.038835,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-29,14.24,5,5,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-07-29,264.04,29,26,1.115385,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-07-29,420.96,19,18,1.055556,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-07-29,50.86,11,11,1,2,2,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-07-29,541.29,64,57,1.122807,2,2,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-07-29,42.85,8,8,1,2,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-07-29,58380.54,8517,5541,1.537087,236,192,25,0,0,0,53,8,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-29,777.85,49,39,1.25641,1,0,0,0,0,0,0,0,
Ad5 - Video - Sale - Copia,2026-07-30,2786.57,309,290,1.065517,18,17,0,0,0,0,294,58,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-07-30,2351.32,79,58,1.362069,4,3,0,1,0,0,56,9,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-07-30,3689.82,219,194,1.128866,9,7,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-07-30,51.18,8,8,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-30,782.14,54,48,1.125,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-07-30,224.3,38,36,1.055556,2,2,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-07-30,1033.45,146,133,1.097744,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-07-30,846.23,116,103,1.126214,0,4,0,0,0,0,11,1,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-07-30,122.74,23,22,1.045455,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-07-30,62.96,13,11,1.181818,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-07-30,35576.1,5148,3675,1.400816,144,111,14,3,1,100159.27,29,7,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-30,453.06,62,59,1.050847,5,3,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-07-30,15629.79,2218,1416,1.566384,59,52,14,2,0,0,20,2,
Ad5 - Video - Sale - Copia,2026-07-31,6759.55,670,597,1.122278,45,45,3,0,0,0,637,116,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-07-31,211.23,9,9,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-07-31,889.05,86,79,1.088608,5,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-31,2402.49,278,235,1.182979,10,9,4,1,1,59415,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-07-31,0,0,0,0,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-07-31,8517.43,1002,807,1.241636,35,27,4,1,1,79787.21,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-07-31,5.87,2,2,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-07-31,725,41,38,1.078947,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-07-31,970.16,115,96,1.197917,5,4,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4,2026-07-31,2058.94,114,95,1.2,2,1,0,0,0,0,57,1,
