"Inicio del informe","Fin del informe","Nombre del anuncio","Identificador del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Objetivo,Frecuencia,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace","CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","Clientes potenciales","Costo por cliente potencial (ARS)","Conversaciones con mensajes iniciadas","Interacciones con la publicación","Comentarios de publicaciones","Reacciones a publicaciones","Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones",Compras,"Valor de resultados","Indicador de ROAS de resultado","Valor de conversión de compras","ROAS de resultados","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video",ThruPlays,"CTR único (porcentaje de clics en el enlace)","CTR único (todos)"
2026-08-25,2026-08-25,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,4.76,3,3,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,1586.666667,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-25,2026-08-25,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-25,2026-08-25,"2 - Nueva - Copia 2",120252606006150202,active,5,actions:leadgen.other,847.326,"Con el presupuesto de la campaña",0,4236.63,753,671,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.122206,5626.334661,11,385.148182,1.460823,24,3.187251,5,847.326,3,13,,,1,1,,,,,,,,,,,00:00:00,,1.639344,2.682563
2026-08-25,2026-08-25,"2 - Nueva - Copia",120252605987120202,active,2,actions:leadgen.other,3064.985,"Con el presupuesto de la campaña",0,6129.97,1126,975,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.154872,5444.023091,9,681.107778,0.79929,16,1.420959,2,3064.985,4,16,3,1,2,1,,,,,,,,,,,00:00:00,,0.923077,1.435897
2026-08-24,2026-08-24,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-24,2026-08-24,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,5.28,1,1,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,5280,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-24,2026-08-24,"2 - Nueva - Copia 2",120252606006150202,active,3,actions:leadgen.other,1097.74333333,"Con el presupuesto de la campaña",0,3293.23,597,524,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.139313,5516.298157,9,365.914444,1.507538,16,2.680067,3,1097.743333,2,10,,1,,,,,,,,,,,,,00:00:00,,1.717557,2.290076
2026-08-24,2026-08-24,"2 - Nueva - Copia",120252605987120202,active,7,actions:leadgen.other,1164.35,"Con el presupuesto de la campaña",0,8150.45,1612,1394,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.156385,5056.110422,20,407.5225,1.240695,41,2.543424,7,1164.35,6,22,1,1,,,,,,,,,,,,,00:00:00,,1.362984,2.080344
2026-08-23,2026-08-23,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,49.71,11,11,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,4519.090909,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-23,2026-08-23,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
