Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
1,2026-07-29,0.99,4,4,1,0,0,0,0,0,0,0,0,0
2,2026-07-29,0.06,1,1,1,0,0,0,0,0,0,0,0,0
3,2026-07-29,0.46,2,2,1,0,0,0,0,0,0,0,0,0
2,2026-07-30,0.3,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-07-31,247.79,26,24,1.083333,3,0,0,0,0,0,2,1,1
2 - Nueva - Copia 2,2026-07-31,6171.44,1051,947,1.10982,16,0,0,0,0,0,0,0,7
2 - Nueva - Copia 3,2026-07-31,378.14,43,39,1.102564,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-01,347.72,47,38,1.236842,3,0,0,0,0,0,1,0,0
2 - Nueva - Copia 2,2026-08-01,7911.15,1772,1464,1.210383,22,0,0,0,0,0,0,0,7
2 - Nueva - Copia 3,2026-08-01,60.89,15,15,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-02,764.22,81,57,1.421053,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-02,9998.83,1967,1608,1.223259,36,0,0,0,0,0,0,0,11
2 - Nueva - Copia 3,2026-08-02,155.04,33,25,1.32,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-03,462.84,57,44,1.295455,2,0,0,0,0,0,1,0,1
2 - Nueva - Copia 2,2026-08-03,9079.93,1500,1275,1.176471,27,0,0,0,0,0,0,0,7
2 - Nueva - Copia 3,2026-08-03,141.8,24,24,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-03,293.16,50,44,1.136364,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 2,2026-08-04,1428,272,246,1.105691,11,0,0,0,0,0,0,0,5
2 - Nueva - Copia,2026-08-04,377.76,51,43,1.186047,2,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-04,6503.32,1560,1337,1.166791,25,0,0,0,0,0,0,0,7
2 - Nueva - Copia 3,2026-08-04,26.84,7,7,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-04,61.52,13,12,1.083333,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-04,3757.39,839,700,1.198571,13,0,0,0,0,0,0,0,4
Nuevo anuncio de Clientes potenciales - Copia 2,2026-08-05,4388.74,919,825,1.113939,16,0,0,0,0,0,0,0,4
2 - Nueva - Copia,2026-08-05,614.09,110,93,1.182796,5,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-08-05,5432.72,1429,1191,1.199832,13,0,0,0,0,0,0,0,2
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-05,3675,1002,807,1.241636,10,0,0,0,0,0,0,0,2
Nuevo anuncio de Clientes potenciales - Copia 2,2026-08-06,787.89,208,202,1.029703,5,0,0,0,0,0,0,0,2
2 - Nueva - Copia,2026-08-06,676.76,165,145,1.137931,3,0,0,0,0,0,0,0,2
2 - Nueva - Copia 2,2026-08-06,323.07,59,59,1,0,0,0,0,0,0,0,0,0
