Nombre del anuncio,Inicio del informe,Importe gastado (CLP),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Carrusel Catalogo,2026-07-29,14293,2390,1772,1.348758,78,66,3,1,0,0,19,2,
Carrusel Catalogo 2 - Video,2026-07-29,3644,472,373,1.265416,18,15,0,0,0,0,308,13,
Carrusel Catalogo 3 - Video,2026-07-29,2186,327,259,1.262548,9,8,0,0,0,0,63,14,
Carrusel Catalogo,2026-07-30,9066,1393,985,1.414213,44,35,2,1,0,0,15,1,
Carrusel Catalogo 2 - Video,2026-07-30,3495,234,187,1.251337,4,2,0,0,0,0,127,9,
Carrusel Catalogo 3 - Video,2026-07-30,2119,227,189,1.201058,8,5,0,0,0,0,21,4,
Carrusel Catalogo,2026-07-31,20595,3554,2451,1.45002,140,127,5,1,0,0,21,2,
Carrusel Catalogo 2 - Video,2026-07-31,3337,337,292,1.15411,11,8,0,0,0,0,214,9,
Carrusel Catalogo 3 - Video,2026-07-31,447,82,80,1.025,1,1,0,0,0,0,8,2,
Carrusel Catalogo,2026-08-01,11558,1998,1462,1.366621,84,73,1,0,0,0,17,3,
Carrusel Catalogo 2 - Video,2026-08-01,139,45,43,1.046512,2,2,0,0,0,0,17,0,
Carrusel Catalogo 3 - Video,2026-08-01,407,69,60,1.15,5,4,0,0,0,0,9,2,
Carrusel Catalogo,2026-08-02,15989,2808,2120,1.324528,98,88,1,1,1,61990,26,2,
Carrusel Catalogo 2 - Video,2026-08-02,856,180,156,1.153846,8,6,1,1,0,0,72,1,
Carrusel Catalogo 3 - Video,2026-08-02,58,9,8,1.125,0,1,0,0,0,0,0,0,
Carrusel Catalogo,2026-08-03,539,146,129,1.131783,4,4,0,0,0,0,0,0,
Carrusel Catalogo 3 - Video - Copia,2026-08-03,566,81,74,1.094595,2,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-03,15844,1581,1282,1.233229,89,77,0,0,0,0,1223,174,
Carrusel Catalogo - Video Nuevo 2,2026-08-03,1285,143,130,1.1,3,4,0,0,0,0,136,11,
Carrusel Catalogo - Video Nuevo 3,2026-08-03,650,107,89,1.202247,4,1,0,0,0,0,74,15,
Carrusel Catalogo - Video Nuevo 4,2026-08-03,116,18,16,1.125,0,0,0,0,0,0,12,1,
Carrusel Catalogo - Video Nuevo 5,2026-08-03,575,124,116,1.068966,7,4,0,0,0,0,91,35,
Carrusel Catalogo - Video Nuevo 6,2026-08-03,647,91,70,1.3,1,2,0,0,0,0,29,3,
Carrusel Catalogo 2 - Video,2026-08-04,161,31,30,1.033333,0,0,0,0,0,0,17,1,
Carrusel Catalogo 3 - Video - Copia,2026-08-04,182,26,24,1.083333,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-04,10713,1108,896,1.236607,66,57,0,0,0,0,713,113,
Carrusel Catalogo - Video Nuevo 2,2026-08-04,2380,350,293,1.194539,7,5,0,0,0,0,271,25,
Carrusel Catalogo - Video Nuevo 3,2026-08-04,114,28,26,1.076923,1,1,0,0,0,0,22,5,
Carrusel Catalogo - Video Nuevo 4,2026-08-04,223,19,17,1.117647,0,0,0,0,0,0,6,1,
Carrusel Catalogo - Video Nuevo 5,2026-08-04,164,30,29,1.034483,1,0,0,0,0,0,27,9,
Carrusel Catalogo - Video Nuevo 6,2026-08-04,511,46,43,1.069767,1,1,0,0,0,0,11,0,
Carrusel Catalogo 3 - Video - Copia,2026-08-05,7,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-05,14297,1647,1046,1.57457,59,53,1,2,1,179980,724,109,
Carrusel Catalogo - Video Nuevo 2,2026-08-05,210,45,40,1.125,3,3,0,0,0,0,19,2,
Carrusel Catalogo - Video Nuevo 6,2026-08-05,5,1,1,1,0,0,0,0,0,0,1,0,
Carrusel Catalogo 2 - Video,2026-08-06,464,53,47,1.12766,0,0,0,0,0,0,30,2,
Carrusel Catalogo 3 - Video - Copia,2026-08-06,112,20,19,1.052632,2,1,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-06,9756,1134,789,1.437262,43,37,0,0,0,0,610,91,
Carrusel Catalogo - Video Nuevo 2,2026-08-06,10,4,4,1,0,0,0,0,0,0,4,0,
Carrusel Catalogo - Video Nuevo 3,2026-08-06,2,1,1,1,0,0,0,0,0,0,1,0,
Carrusel Catalogo - Video Nuevo 6,2026-08-06,225,14,14,1,0,0,0,0,0,0,6,0,
Carrusel Catalogo 2 - Video,2026-08-07,127,12,12,1,0,0,0,0,0,0,5,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-07,16884,1189,890,1.335955,68,58,0,0,0,0,582,111,
Carrusel Catalogo - Video Nuevo 2,2026-08-07,17,5,5,1,0,0,0,0,0,0,3,0,
Carrusel Catalogo - Video Nuevo 3,2026-08-07,170,29,29,1,0,0,0,0,0,0,23,3,
Carrusel Catalogo - Video Nuevo 4,2026-08-07,3,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video,2026-08-08,439,47,42,1.119048,3,2,0,0,0,0,18,1,
Carrusel Catalogo 3 - Video - Copia,2026-08-08,548,15,12,1.25,3,3,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-08,15646,1920,1460,1.315068,117,101,0,0,0,0,398,78,
Carrusel Catalogo - Video Nuevo 2,2026-08-08,145,16,15,1.066667,1,0,0,0,0,0,8,1,
Carrusel Catalogo - Video Nuevo 6,2026-08-08,1,3,3,1,0,0,0,0,0,0,2,1,
Carrusel Catalogo 3 - Video - Copia,2026-08-09,658,66,46,1.434783,3,2,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-09,15817,1512,1168,1.294521,73,59,1,0,0,0,285,38,
Carrusel Catalogo - Video Nuevo 3,2026-08-09,884,123,107,1.149533,4,4,0,0,0,0,88,23,
Carrusel Catalogo - Video Nuevo 4,2026-08-09,2128,254,190,1.336842,12,11,0,0,0,0,52,4,
