Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad_Vans,2026-08-31,224.59,64,59,1.084746,5,4,2,0,0,0,58,7,
Ad_Converse,2026-08-31,289.5,74,67,1.104478,1,0,0,0,0,0,67,3,
Ad_Osito,2026-08-31,60.49,19,18,1.055556,1,0,0,0,0,0,16,3,
Ad_Manchas,2026-08-31,509.24,152,132,1.151515,6,4,0,0,0,0,97,15,
Ad_Vans,2026-09-01,920.82,210,197,1.06599,5,5,0,0,0,0,202,31,
Ad_Manchas,2026-09-01,2405.51,452,398,1.135678,16,15,2,0,0,0,308,33,
Ad_Toallas,2026-09-01,16.71,5,5,1,0,0,0,0,0,0,4,0,
Ad_Vans,2026-09-01,179.89,54,54,1,2,2,0,0,0,0,54,12,
Ad_Converse,2026-09-01,25.46,13,13,1,0,0,0,0,0,0,13,5,
Ad_Osito,2026-09-01,1072.82,377,366,1.030055,27,25,3,0,0,0,369,149,
Ad_Toallas,2026-09-01,2.92,1,1,1,0,0,0,0,0,0,1,0,
Ad_Manchas,2026-09-01,218.26,61,56,1.089286,4,4,0,0,0,0,58,8,
Ad_Vans,2026-09-02,1094.14,200,199,1.005025,10,9,2,0,0,0,198,50,
Ad_Converse,2026-09-02,908.8,247,235,1.051064,14,14,1,0,0,0,241,52,
Ad_Osito,2026-09-02,4265.92,1268,1242,1.020934,49,49,2,0,0,0,1241,492,
Ad_Toallas,2026-09-02,7837.1,1916,1723,1.112014,71,68,5,0,0,0,1805,399,
Ad_Manchas,2026-09-02,9.1,5,5,1,0,0,0,0,0,0,5,2,
Ad_Converse,2026-09-03,3.25,1,1,1,0,0,0,0,0,0,1,0,
Ad_Osito,2026-09-03,14323.29,5086,4488,1.133244,164,150,2,0,0,0,4833,1670,
Ad_Toallas,2026-09-03,35.02,10,8,1.25,0,0,0,0,0,0,8,2,
Ad_Converse,2026-09-04,0,0,0,0,0,1,1,0,0,0,0,0,
Ad_Osito,2026-09-04,802.22,270,262,1.030534,8,9,0,0,0,0,261,113,
Ad_Vans,2026-09-04,5022.92,1272,1220,1.042623,53,49,4,0,0,0,1149,236,
Ad_Manchas,2026-09-04,4754.25,1099,1069,1.028064,79,76,11,0,0,0,986,192,
Ad_Toallas,2026-09-04,1960.67,403,372,1.083333,19,14,3,0,0,0,314,67,
Ad_Osito,2026-09-04,2963.9,944,931,1.013963,27,25,0,0,0,0,852,267,
Ad_Converse,2026-09-04,9605.64,2793,2648,1.054758,116,117,7,0,0,0,2597,548,
Ad_Vans,2026-09-05,5723.09,1490,1452,1.026171,79,79,4,0,0,0,1287,277,
Ad_Manchas,2026-09-05,750.26,167,162,1.030864,9,7,0,0,0,0,156,34,
Ad_Converse,2026-09-05,15.41,4,4,1,1,1,0,0,0,0,4,2,
