"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Frecuencia,"Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Finalización,"Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones",Impresiones,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace",shop_clicks,"CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","CPC (todos) (ARS)","Visitas a la página de destino","Costo por visita a la página de destino (ARS)","Artículos agregados al carrito","Pagos iniciados",Compras,"Valor de conversión de compras","ROAS de resultados","Indicador de ROAS de resultado","Reproducciones de video de 3 segundos",ThruPlays,"Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-25,2026-08-25,"Orgullosamente argentinas",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,11,1.090909,,15000,Diario,51.06,"En curso",-,-,-,12,4255,3,,17.02,25,2,16.666667,25.53,2,25.53,,,,,,,2,1,2,2,1,1,5,,
2026-08-25,2026-08-25,"Cardigam Roma",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Catalogo + Video 5",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Catalogo + Video 4",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Catalogo + Video 3",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Catalogo + Video 2",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,actions:offsite_conversion.fb_pixel_purchase,1410,1.248227,6190.085,15000,Diario,12380.17,"En curso",-,-,-,1760,7034.1875,60,,206.336167,3.409091,95,5.397727,130.317579,56,221.074464,21,8,2,110600.4,8.93367377,action_values:offsite_conversion.fb_pixel_purchase,349,69,336,150,104,68,2,,
2026-08-25,2026-08-25,"Catalogo + Video 1",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,actions:offsite_conversion.fb_pixel_purchase,239,1.439331,3342.03,15000,Diario,3342.03,"En curso",-,-,-,344,9715.203488,11,,303.820909,3.197674,12,3.488372,278.5025,10,334.203,,1,1,55445.4,16.59033581,action_values:offsite_conversion.fb_pixel_purchase,45,6,29,15,6,5,3,,
2026-08-25,2026-08-25,"wtf arg | 13/02",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Cardigan  | 07/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG2  | 07/08 ULTIMOS",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Reviews | 06/08",not_delivering,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"ANA TIK TOK | 06/08",not_delivering,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG2 | 06/08",inactive,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"3x2 estatico | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"3x2 historia | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"3X2 feed | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG2  | 03/08 ULTIMOS",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3450,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG2  | 03/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3450,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG2  | 30/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2500,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG02 | 29/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2500,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Catalogo | 28/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2500,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"AD01 Sofia | 27/07",inactive,"7 días tras clic o 1 día tras visualización",,,0,0,,2500,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"3x2 Invierno | 24/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG02 | 23/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2500,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG02 | 22/07 Carrusel",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2875,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG02 | 22/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2875,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW ARG | 19/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2300,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Sweater AFA  cupón | 10/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2300,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Ana tik tok | 06/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW AFA | 02/07",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3849,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW AFA | 30/06",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW AFA | 30/06",not_delivering,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW SOL | 27/06",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3499,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"SW SOL | 19/06",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,2645,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-25,2026-08-25,"Ana tik tok",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,7781,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"Orgullosamente argentinas",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"Cardigam Roma",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,15000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
