Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
SW AFA | 02/07,2026-07-29,0,0,0,0,0,0,0,0,0,0,0,0,
SW ARG02 | 22/07,2026-07-29,0,0,0,0,0,1,0,0,0,0,0,0,
SW ARG02 | 23/07,2026-07-29,0,0,0,0,0,0,0,0,0,0,0,0,
3x2 Invierno | 24/07,2026-07-29,0,0,0,0,0,0,8,0,0,0,0,0,
AD01 Sofia | 27/07,2026-07-29,2594.73,468,425,1.101176,16,13,4,2,0,0,0,0,
Catalogo | 28/07,2026-07-29,2741.62,456,341,1.337243,10,6,1,0,0,0,2,0,
SW ARG02 | 29/07,2026-07-29,2158.48,683,661,1.033283,16,13,0,0,0,0,656,57,
3x2 Invierno | 24/07,2026-07-30,0,0,0,0,0,0,0,0,0,0,0,0,
AD01 Sofia | 27/07,2026-07-30,2923.52,502,448,1.120536,11,13,0,0,0,0,0,0,
Catalogo | 28/07,2026-07-30,2451.64,408,310,1.316129,8,4,0,0,0,0,1,0,
SW ARG02 | 29/07,2026-07-30,2560.87,857,835,1.026347,15,13,0,0,0,0,834,67,
SW ARG2  | 30/07,2026-07-30,2193.47,371,363,1.022039,5,5,0,0,0,0,354,18,
3x2 Invierno | 24/07,2026-07-31,0,0,0,0,0,0,3,0,0,0,0,0,
AD01 Sofia | 27/07,2026-07-31,2544.52,511,470,1.087234,16,15,0,0,0,0,0,0,
Catalogo | 28/07,2026-07-31,2278.54,314,257,1.22179,8,5,0,0,0,0,0,0,
SW ARG02 | 29/07,2026-07-31,2457.1,486,470,1.034043,12,8,0,0,0,0,464,55,
SW ARG2  | 30/07,2026-07-31,2516.38,326,315,1.034921,8,10,1,0,0,0,318,13,
AD01 Sofia | 27/07,2026-08-01,1765.69,346,328,1.054878,8,8,0,0,0,0,0,0,
SW ARG02 | 29/07,2026-08-01,1774.35,382,374,1.02139,10,12,0,0,0,0,363,53,
SW ARG2  | 30/07,2026-08-01,1598.32,394,380,1.036842,3,1,0,0,0,0,379,13,
AD01 Sofia | 27/07,2026-08-02,1240.71,165,154,1.071429,3,2,0,0,0,0,0,0,
SW ARG02 | 29/07,2026-08-02,1378.81,235,227,1.035242,5,3,0,0,0,0,227,31,
SW ARG2  | 30/07,2026-08-02,3403.33,596,595,1.001681,7,6,1,1,1,53119.43,568,23,
SW ARG02 | 29/07,2026-08-03,0,0,0,0,0,0,0,0,0,0,0,0,
SW ARG2  | 30/07,2026-08-03,1899.43,298,292,1.020548,4,2,0,0,0,0,280,10,
SW ARG2  | 03/08,2026-08-03,196.56,33,31,1.064516,2,2,0,0,0,0,33,1,
SW ARG2  | 03/08 ULTIMOS,2026-08-03,312.91,89,82,1.085366,3,2,1,0,0,0,1,0,
SW ARG02 | 29/07,2026-08-04,0,0,0,0,0,0,3,0,0,0,0,0,
SW ARG2  | 03/08,2026-08-04,2.46,2,2,1,0,0,0,0,0,0,2,0,
SW ARG2  | 03/08 ULTIMOS,2026-08-04,2985.98,646,521,1.239923,24,23,1,1,1,53119.43,8,0,
SW ARG2  | 03/08 ULTIMOS,2026-08-05,2434.43,630,573,1.099476,14,15,0,0,0,0,8,0,
3X2 feed | 05/08,2026-08-05,53.48,8,8,1,0,0,0,0,0,0,2,0,
3x2 historia | 05/08,2026-08-05,536.04,64,40,1.6,1,1,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-05,2944.65,660,527,1.252372,13,12,0,0,0,0,0,0,
SW ARG2  | 03/08 ULTIMOS,2026-08-06,4151.09,695,627,1.108453,18,17,1,1,0,0,8,0,
3X2 feed | 05/08,2026-08-06,414.17,47,34,1.382353,2,2,0,0,0,0,8,0,
3x2 historia | 05/08,2026-08-06,345.03,61,35,1.742857,2,2,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-06,2966.4,631,581,1.086059,12,10,0,0,0,0,7,1,
SW ARG2 | 06/08,2026-08-06,4.03,5,5,1,0,0,0,0,0,0,5,0,
ANA TIK TOK | 06/08,2026-08-06,756.98,249,244,1.020492,15,5,0,0,0,0,239,11,
Reviews | 06/08,2026-08-06,10.25,10,10,1,0,0,0,0,0,0,3,0,
SW ARG2  | 03/08 ULTIMOS,2026-08-07,3231.11,616,547,1.126143,18,17,2,0,0,0,8,0,
3X2 feed | 05/08,2026-08-07,43.4,7,6,1.166667,0,0,0,0,0,0,3,0,
3x2 historia | 05/08,2026-08-07,691.02,88,75,1.173333,4,4,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-07,3553.58,589,538,1.094796,12,14,2,0,0,0,14,0,
SW ARG2 | 06/08,2026-08-07,0.74,2,2,1,0,0,0,0,0,0,2,1,
ANA TIK TOK | 06/08,2026-08-07,1570.84,526,481,1.093555,25,10,0,0,0,0,514,35,
Reviews | 06/08,2026-08-07,103.32,67,65,1.030769,2,1,0,0,0,0,33,0,
SW ARG2  | 07/08 ULTIMOS,2026-08-07,3086.22,452,353,1.280453,6,5,0,0,0,0,2,1,
Cardigan  | 07/08,2026-08-07,2455.26,410,389,1.053985,14,14,2,1,0,0,397,16,
SW ARG2  | 03/08,2026-08-08,61.88,4,4,1,0,0,0,0,0,0,4,0,
SW ARG2  | 03/08 ULTIMOS,2026-08-08,1595.82,297,252,1.178571,10,9,0,0,0,0,4,0,
3X2 feed | 05/08,2026-08-08,176.81,12,12,1,0,0,0,0,0,0,1,0,
3x2 historia | 05/08,2026-08-08,1429.03,157,143,1.097902,5,4,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-08,4524.4,700,672,1.041667,12,13,3,0,0,0,7,0,
ANA TIK TOK | 06/08,2026-08-08,945.06,354,346,1.023121,29,11,3,0,0,0,344,25,
SW ARG2  | 07/08 ULTIMOS,2026-08-08,1896.7,391,335,1.167164,3,2,0,0,0,0,2,0,
Cardigan  | 07/08,2026-08-08,1914.5,415,392,1.058673,9,7,0,0,0,0,403,17,
SW ARG2  | 03/08,2026-08-09,3187.94,537,485,1.107216,16,14,0,0,0,0,520,18,
SW ARG2  | 03/08 ULTIMOS,2026-08-09,0,0,0,0,0,0,0,0,0,0,0,0,
3X2 feed | 05/08,2026-08-09,48.43,11,11,1,0,0,0,0,0,0,1,0,
3x2 historia | 05/08,2026-08-09,4920.35,736,490,1.502041,15,15,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-09,0,0,0,0,0,2,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-09,1969.41,899,850,1.057647,61,23,3,1,0,0,881,55,
SW ARG2  | 07/08 ULTIMOS,2026-08-09,3052.23,543,459,1.183007,10,9,1,0,1,60033.30,5,0,
Cardigan  | 07/08,2026-08-09,3040.32,506,470,1.076596,5,5,0,0,0,0,491,20,
SW ARG2  | 03/08,2026-08-10,3476.89,656,567,1.156966,10,10,0,0,0,0,636,16,
SW ARG2  | 03/08 ULTIMOS,2026-08-10,0,0,0,0,0,0,0,0,0,0,0,0,
3X2 feed | 05/08,2026-08-10,4450.46,414,290,1.427586,5,5,0,0,0,0,92,6,
3x2 historia | 05/08,2026-08-10,409.66,53,48,1.104167,3,3,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-10,1556.49,806,788,1.022843,61,13,0,0,0,0,782,62,
SW ARG2  | 07/08 ULTIMOS,2026-08-10,2356.89,477,387,1.232558,7,6,0,0,0,0,7,0,
Cardigan  | 07/08,2026-08-10,2226.27,444,423,1.049645,8,11,5,1,0,0,428,10,
SW ARG2  | 03/08,2026-08-11,587.87,67,63,1.063492,1,1,0,0,0,0,66,1,
3X2 feed | 05/08,2026-08-11,1679.53,77,66,1.166667,3,3,0,0,0,0,15,0,
ANA TIK TOK | 06/08,2026-08-11,1533.57,819,791,1.035398,50,13,0,0,0,0,805,58,
SW ARG2  | 07/08 ULTIMOS,2026-08-11,3031.41,614,469,1.309168,5,5,0,0,0,0,4,0,
Cardigan  | 07/08,2026-08-11,3382.22,586,542,1.081181,14,14,0,0,0,0,555,15,
3X2 feed | 05/08,2026-08-12,0,0,0,0,0,0,0,0,0,0,0,0,
3x2 estatico | 05/08,2026-08-12,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-12,1675.32,876,825,1.061818,67,22,5,0,0,0,857,76,
SW ARG2  | 07/08 ULTIMOS,2026-08-12,2173.86,381,321,1.186916,7,9,0,0,0,0,0,0,
Cardigan  | 07/08,2026-08-12,3972.03,697,660,1.056061,17,18,0,0,0,0,673,30,
3X2 feed | 05/08,2026-08-13,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-13,1795.62,908,884,1.027149,66,18,10,0,0,0,892,74,
Cardigan  | 07/08,2026-08-13,1716.17,274,260,1.053846,5,5,9,0,0,0,268,12,
3X2 feed | 05/08,2026-08-14,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-14,1570.49,832,809,1.02843,56,16,0,0,0,0,812,62,
3X2 feed | 05/08,2026-08-15,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-15,1526.93,893,893,1,57,27,0,0,0,0,872,66,
3X2 feed | 05/08,2026-08-16,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-16,1847.54,971,964,1.007261,62,32,0,0,0,0,938,78,
wtf arg | 13/02,2026-08-16,2372.51,453,423,1.070922,10,9,0,0,0,0,77,6,
3X2 feed | 05/08,2026-08-17,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-17,1989.64,1035,1010,1.024752,83,34,1,0,0,0,991,74,
Cardigan  | 07/08,2026-08-17,0,0,0,0,0,0,5,0,0,0,0,0,
wtf arg | 13/02,2026-08-17,6882.58,1259,964,1.306017,43,43,2,0,0,0,51,3,
ANA TIK TOK | 06/08,2026-08-18,1383.34,734,709,1.035261,45,17,0,0,0,0,711,54,
wtf arg | 13/02,2026-08-18,4100.13,587,488,1.202869,23,20,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-19,1884.19,1019,1019,1,70,27,3,0,0,0,992,76,
wtf arg | 13/02,2026-08-19,3199.47,512,446,1.147982,9,10,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-20,1495.76,634,634,1,43,16,0,0,0,0,608,44,
wtf arg | 13/02,2026-08-20,0,0,0,0,0,0,0,0,0,0,0,0,
ANA TIK TOK | 06/08,2026-08-21,596.98,241,241,1,20,8,0,0,0,0,233,22,
wtf arg | 13/02,2026-08-21,0,0,0,0,0,1,0,0,0,0,0,0,
Catalogo + Video 1,2026-08-21,6427.53,1075,769,1.397919,33,28,3,0,0,0,391,23,
Catalogo + Video 2,2026-08-21,10035.48,2802,2625,1.067429,105,98,11,0,1,81144.40,2600,104,
Catalogo + Video 3,2026-08-21,45.2,11,10,1.1,0,0,0,0,0,0,0,0,
Catalogo + Video 4,2026-08-21,5.78,4,4,1,0,0,0,0,0,0,0,0,
Catalogo + Video 5,2026-08-21,219.88,48,40,1.2,2,2,0,0,0,0,0,0,
Cardigam Roma,2026-08-21,3.26,1,1,1,0,0,0,0,0,0,1,0,
Orgullosamente argentinas,2026-08-21,580.94,68,60,1.133333,2,2,0,0,0,0,62,2,
ANA TIK TOK | 06/08,2026-08-22,0,0,0,0,0,0,0,0,0,0,0,0,
Catalogo + Video 1,2026-08-22,518.14,65,47,1.382979,3,2,0,0,0,0,48,3,
Catalogo + Video 2,2026-08-22,13483.32,3495,3002,1.164224,139,135,45,2,0,0,3361,165,
Catalogo + Video 3,2026-08-22,55.08,7,6,1.166667,0,0,0,0,0,0,2,0,
Catalogo + Video 4,2026-08-22,171.19,13,13,1,0,0,0,0,0,0,2,0,
Catalogo + Video 5,2026-08-22,575.86,68,63,1.079365,2,3,0,0,0,0,60,3,
Cardigam Roma,2026-08-22,70.38,22,21,1.047619,0,0,0,0,0,0,19,1,
Orgullosamente argentinas,2026-08-22,311.82,40,35,1.142857,2,2,0,0,0,0,37,3,
Catalogo + Video 1,2026-08-23,3463.2,389,284,1.369718,13,11,12,1,0,0,300,19,
Catalogo + Video 2,2026-08-23,15121.04,3200,2649,1.208003,140,137,29,1,0,0,3010,144,
Catalogo + Video 5,2026-08-23,22.37,6,6,1,0,1,0,0,0,0,5,0,
Cardigam Roma,2026-08-23,4.96,3,3,1,0,0,0,0,0,0,3,1,
Orgullosamente argentinas,2026-08-23,196.47,24,23,1.043478,2,2,0,0,0,0,22,2,
Catalogo + Video 1,2026-08-24,3374.23,238,178,1.337079,10,10,1,0,0,0,141,8,
Catalogo + Video 2,2026-08-24,15021.16,2514,2082,1.207493,104,100,35,7,2,115917,2291,118,
Catalogo + Video 3,2026-08-24,18.47,1,1,1,0,0,0,0,0,0,1,0,
Catalogo + Video 5,2026-08-24,6.42,4,4,1,0,0,0,0,0,0,4,0,
